,이름,팀,번호,생일,포지션,투타유형,키,몸무게,경력,입단 계약금,연봉,지명 순위,입단년도,ID
0,고효준,SSG,15,1983년 02월 08일,투수,좌투좌타,179cm,81kg,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG,11000만원,8500만원,02 롯데 2차 1라운드 6순위,02롯데,72523
1,서진용,SSG,22,1992년 10월 02일,투수,우투우타,184cm,88kg,남부민초-대동중-경남고-상무-SK,,26500만원,11 SK 1라운드 7순위,13상무,61895
2,맥카티,SSG,33,1995년 10월 12일,투수,좌투좌타,173cm,83kg,미국 Oak Grove(고)-미국 Southern Mississippi(대),,600000달러,23 SSG 자유선발,23SSG,53833
3,한두솔,SSG,34,1997년 01월 15일,투수,좌투좌타,177cm,86kg,광주수창초-진흥중-광주제일고-일본 오샤이 리세이샤 전문대학-KT,,3100만원,18 KT 육성선수,18KT,68092
4,노경은,SSG,38,1984년 03월 11일,투수,우투우타,187cm,100kg,화곡초-성남중-성남고-두산-롯데,35000만원,17000만원,03 두산 1차 ,03두산,73211
5,박민호,SSG,41,1992년 02월 25일,투수,우언우타,185cm,95kg,동막초-동인천중-인천고-인하대-SK-상무-SK,10000만원,9500만원,14 SK 2차 3라운드 33순위,14SK,64893
6,문승원,SSG,42,1989년 11월 28일,투수,우투우타,180cm,88kg,가동초-배명중-배명고-고려대-SK-상무-SK,18000만원,70000만원,12 SK 1라운드 8순위,12SK,62869
7,오원석,SSG,47,2001년 04월 23일,투수,좌투좌타,182cm,80kg,수진초-매송중-야탑고-SK,20000만원,14000만원,20 SK 1차,20SK,50859
8,박종훈,SSG,50,1991년 08월 13일,투수,우언우타,186cm,90kg,군산중앙초-군산중-군산상고-SK-상무-SK,10000만원,50000만원,10 SK 2라운드 9순위,10SK,60841
9,백승건,SSG,59,2000년 10월 29일,투수,좌투좌타,183cm,85kg,동막초-상인천중-인천고-SK-상무,10000만원,3000만원,19 SK 1차,19SK,69839
10,최민준,SSG,67,1999년 06월 11일,투수,우투우타,178cm,83kg,부산수영초-경남중-경남고-SK-상무-SK,10000만원,13000만원,18 SK 2차 2라운드 15순위,18SK,68856
11,이로운,SSG,92,2004년 09월 11일,투수,우투우타,185cm,105kg,본리초-경복중-대구고,25000만원,3000만원,23 SSG 1라운드 5순위,23SSG,53892
12,송영진,SSG,98,2004년 05월 28일,투수,우투양타,185cm,90kg,대전유천초-한밭중-대전고,15000만원,3000만원,23 SSG 2라운드 15순위,23SSG,53898
13,이재원,SSG,20,1988년 02월 24일,포수,우투우타,185cm,98kg,인천숭의초-상인천중-인천고-SK-상무-SK,25000만원,10000만원,06 SK 1차,06SK,76812
14,김민식,SSG,24,1989년 06월 28일,포수,우투좌타,180cm,80kg,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,14000만원,15000만원,12 SK 2라운드 11순위,12SK,62864
15,박성한,SSG,2,1998년 03월 30일,내야수,우투좌타,180cm,77kg,순천북초-여수중-효천고-SK-상무-SK,9000만원,27000만원,17 SK 2차 2라운드 16순위,17SK,67893
16,김성현,SSG,6,1987년 03월 09일,내야수,우투우타,172cm,72kg,송정동초-충장중-광주제일고-SK-상무-SK,7000만원,15000만원,06 SK 2차 3라운드 20순위,06SK,76802
17,최정,SSG,14,1987년 02월 28일,내야수,우투우타,180cm,90kg,대일초-평촌중-유신고-SK,30000만원,100000만원,05 SK 1차,05SK,75847
18,최주환,SSG,53,1988년 02월 28일,내야수,우투좌타,178cm,73kg,학강초-광주동성중-광주동성고-두산-상무-두산-SK,6000만원,65000만원,06 두산 2차 6라운드 46순위,06두산,76267
19,전의산,SSG,56,2000년 11월 25일,내야수,우투좌타,188cm,98kg,부산수영초-개성중-경남고-SK,13000만원,9000만원,20 SK 2차 1라운드 10순위,21SK,50820
20,최경모,SSG,58,1996년 06월 17일,내야수,우투우타,168cm,73kg,본리초-경운중-경북고-홍익대-SK,5000만원,5000만원,19 SK 2차 6라운드 56순위,19SK,69802
21,김강민,SSG,0,1982년 09월 13일,외야수,우투우타,182cm,87kg,본리초-대구중-경북고-SK,11000만원,16000만원,01 SK 2차 2라운드 18순위,01SK,71837
22,최상민,SSG,8,1999년 08월 20일,외야수,좌투좌타,178cm,75kg,석교초-청주중-북일고,,3000만원,18 SK 육성선수,22SSG,68805
23,추신수,SSG,17,1982년 07월 13일,외야수,좌투좌타,180cm,97kg,부산수영초-부산중-부산고-SK,,170000만원,07 해외진출선수 특별지명,00시애틀,51817
24,에레디아,SSG,27,1991년 01월 31일,외야수,좌투우타,178cm,88kg,쿠바 Eide Luis Agusto Tursios Lima,,900000달러,23 SSG 자유선발,23SSG,53827
25,한유섬,SSG,35,1989년 08월 09일,외야수,우투좌타,190cm,105kg,중앙초(해운대리틀)-대천중-경남고-경성대-SK-상무-SK,3000만원,50000만원,12 SK 9라운드 85순위,12SK,62895
26,오태곤,SSG,37,1991년 11월 18일,외야수,우투우타,186cm,88kg,쌍문초-신월중-청원고-롯데-경찰-롯데-KT-SK,9000만원,10000만원,10 롯데 3라운드 22순위,10롯데,60558
27,최지훈,SSG,54,1997년 07월 23일,외야수,우투좌타,178cm,82kg,광주수창초-무등중-광주제일고-동국대-SK,8000만원,30000만원,20 SK 2차 3라운드 30순위,20SK,50854
28,김태훈,키움,17,1992년 03월 02일,투수,우투우타,187cm,101kg,남부민초-대신중-부경고-히어로즈-경찰-히어로즈,2000만원,18000만원,12 넥센 9라운드 79순위,12넥센,62360
29,최원태,키움,20,1997년 01월 07일,투수,우투우타,184cm,104kg,인헌초(용산구리틀)-서울경원중-서울고-히어로즈,35000만원,35000만원,15 넥센 1차,15넥센,65320
30,문성현,키움,21,1991년 11월 09일,투수,우투우타,180cm,89kg,남정초-선린중-충암고-히어로즈-상무-히어로즈,8000만원,7000만원,10 넥센 4라운드 31순위,10넥센,60336
31,김재웅,키움,28,1998년 10월 22일,투수,좌투좌타,174cm,86kg,금교초(남양주리틀)-자양중-덕수고,5000만원,22000만원,17 넥센 2차 6라운드 57순위,19키움,67391
32,김성진,키움,34,1997년 11월 14일,투수,우투좌타,183cm,77kg,율하초-포항제철중-부산정보고-계명대,7000만원,4500만원,21 키움 2차 3라운드 29순위,21키움,51301
33,양현,키움,39,1992년 08월 23일,투수,우언우타,189cm,104kg,영랑초-한밭중-대전고-두산-상무-히어로즈,3000만원,8500만원,11 두산 10라운드 73순위,11두산,61268
34,안우진,키움,41,1999년 08월 30일,투수,우투우타,192cm,90kg,강남초-서울이수중-휘문고-히어로즈,60000만원,35000만원,18 넥센 1차,18넥센,68341
35,요키시,키움,43,1989년 07월 29일,투수,좌투우타,188cm,93kg,미국 Northwestern(대),,1200000달러,19 키움 자유선발,19키움,69343
36,임창민,키움,45,1985년 08월 25일,투수,우투우타,183cm,94kg,광주대성초-광주동성중-광주동성고-연세대-히어로즈-경찰-히어로즈-NC-두산,7000만원,10000만원,08 현대 2차 2라운드 11순위,08우리,78352
37,하영민,키움,50,1995년 05월 07일,투수,우투우타,180cm,74kg,광주수창초-진흥중-진흥고-히어로즈,15000만원,6500만원,14 넥센 2차 1라운드 4순위,14넥센,64350
38,김동혁,키움,60,2001년 12월 27일,투수,우투우타,185cm,84kg,(강남구리틀)-영동중-덕수고,8000만원,6500만원,20 키움 2차 3라운드 27순위,20키움,50360
39,장재영,키움,61,2002년 05월 10일,투수,우투우타,188cm,83kg,갈산초-서울신월중-덕수고,90000만원,3200만원,21 키움 1차,21키움,51359
40,후라도,키움,75,1996년 01월 30일,투수,우투우타,188cm,109kg,파나마 San Judas Tadeo(고),,850000달러,23 키움 자유선발,23키움,53375
41,김동헌,키움,44,2004년 07월 15일,포수,우투우타,182cm,91kg,영문초(영등포구리틀)-충암중-충암고,15000만원,3000만원,23 키움 2라운드 12순위,23키움,53344
42,이지영,키움,56,1986년 02월 27일,포수,우투우타,177cm,88kg,서화초-신흥중-제물포고-경성대-삼성-상무-삼성,,50000만원,08 삼성 육성선수,09삼성,79456
43,김웅빈,키움,1,1996년 02월 09일,내야수,우투좌타,182cm,97kg,서라벌초-울산제일중-울산공고-히어로즈-상무,8000만원,6000만원,15 SK 2차 3라운드 27순위,16넥센,65898
44,김태진,키움,2,1995년 10월 07일,내야수,우투좌타,170cm,73kg,수유초-신일중-신일고-NC-경찰-NC-KIA,8000만원,12000만원,14 NC 2차 4라운드 45순위,14NC,64984
45,김혜성,키움,3,1999년 01월 27일,내야수,우투좌타,180cm,80kg,문촌초(고양시리틀)-동산중-동산고-히어로즈,13000만원,42000만원,17 넥센 2차 1라운드 7순위,17넥센,67304
46,신준우,키움,5,2001년 06월 21일,내야수,우투우타,176cm,80kg,대구수창초-경운중-대구고,9000만원,4800만원,20 키움 2차 2라운드 17순위,21키움,50312
47,러셀,키움,27,1994년 01월 23일,내야수,우투우타,183cm,90kg,미국 Pace(고),,550000달러,20 키움 자유선발,20키움,50350
48,김수환,키움,31,1998년 03월 20일,내야수,우투우타,180cm,91kg,인천부일초(부평구리틀)-재능중-제물포고-히어로즈,6000만원,4500만원,18 넥센 2차 5라운드 48순위,18넥센,68346
49,김휘집,키움,33,2002년 01월 01일,내야수,우투우타,181cm,92kg,양목초(히어로즈리틀)-대치중-신일고,10000만원,7400만원,21 키움 2차 1라운드 9순위,21키움,51344
50,이용규,키움,15,1985년 08월 26일,외야수,좌투좌타,170cm,74kg,성동초-잠신중-덕수정보고-LG-KIA-한화,,30000만원,04 LG 2차 2라운드 15순위,04LG,74163
51,임병욱,키움,35,1995년 09월 30일,외야수,우투좌타,185cm,94kg,수원신곡초-배명중-덕수고-히어로즈-키움-상무,20000만원,5800만원,14 넥센 1차,14넥센,64346
52,이형종,키움,36,1989년 06월 07일,외야수,우투우타,183cm,87kg,화곡초-양천중-서울고-LG,43000만원,12000만원,08 LG 1차,08LG,78135
53,박찬혁,키움,48,2003년 04월 25일,외야수,우투우타,180cm,87kg,대전유천초(대전서구리틀)-한밭중-북일고,13000만원,4200만원,22 키움 2차 1라운드 6순위,22키움,67341
54,이정후,키움,51,1998년 08월 20일,외야수,우투좌타,185cm,86kg,광주서석초-휘문중-휘문고-히어로즈,20000만원,110000만원,17 넥센 1차,17넥센,50357
55,박주홍,키움,57,2001년 04월 16일,외야수,좌투좌타,187cm,87kg,(하남시리틀)-건대부중-장충고,20000만원,4000만원,20 키움 1차,20키움,53303
56,임찬규,LG,1,1992년 11월 20일,투수,우투우타,185cm,80kg,가동초-청원중-휘문고-LG-경찰,30000만원,17000만원,11 LG 1라운드 2순위,11LG,61101
57,켈리,LG,3,1989년 10월 04일,투수,우투우타,191cm,98kg,미국 Sarasota(고),300000달러,1050000달러,19 LG 자유선발,19LG,69103
58,함덕주,LG,11,1995년 01월 13일,투수,좌투좌타,181cm,78kg,일산초-원주중-원주고-두산,6000만원,10000만원,13 두산 5라운드 43순위,13두산,63248
59,최동환,LG,13,1989년 09월 19일,투수,우투우타,184cm,83kg,인헌초-선린중-경동고,12000만원,10500만원,09 LG 2차 2라운드 13순위,09LG,79140
60,정우영,LG,18,1999년 08월 19일,투수,우언우타,193cm,85kg,가평초-강남중-서울고,10000만원,40000만원,19 LG 2차 2라운드 15순위,19LG,69159
61,이정용,LG,31,1996년 03월 26일,투수,우투우타,186cm,85kg,영일초-성남중-성남고-동아대,20000만원,24000만원,19 LG 1차,19LG,69134
62,이우찬,LG,37,1992년 08월 04일,투수,좌투좌타,183cm,88kg,온양온천초-온양중-북일고-LG-경찰,11000만원,12000만원,11 LG 2라운드 15순위,11LG,61145
63,박명근,LG,39,2004년 03월 27일,투수,우언우타,174cm,75kg,수택초(구리리틀)-구리인창중-라온고,11000만원,3000만원,23 LG 3라운드 27순위,23LG,53139
64,김진성,LG,42,1985년 03월 07일,투수,우투우타,186cm,92kg,인헌초-성남중-성남서고-SK-NC,,20000만원,04 SK 2차 6라운드 42순위,05SK,75867
65,플럿코,LG,45,1991년 10월 03일,투수,우투우타,190cm,95kg,미국 UCLA(대),,800000달러,22 LG 자유선발,22LG,52145
66,김윤식,LG,47,2000년 04월 03일,투수,좌투좌타,181cm,83kg,광주서석초-무등중-진흥고,20000만원,15000만원,20 LG 2차 1라운드 3순위,20LG,50157
67,이지강,LG,50,1999년 07월 02일,투수,우투우타,183cm,85kg,수원선일초-수원북중-소래고,3000만원,3600만원,19 LG 2차 9라운드 85순위,22LG,69108
68,유영찬,LG,54,1997년 03월 07일,투수,우투우타,185cm,90kg,덕성초(안산리틀)-배명중-배명고-건국대,,3100만원,20 LG 2차 5라운드 43순위,23LG,50106
69,강효종,LG,59,2002년 10월 14일,투수,우투우타,184cm,86kg,저동초(일산서구리틀)-충암중-충암고,20000만원,3300만원,21 LG 1차,21LG,51143
70,김기연,LG,12,1997년 09월 07일,포수,우투우타,178cm,95kg,광주수창초-진흥중-진흥고,7000만원,3500만원,16 LG 2차 4라운드 34순위,17LG,66112
71,박동원,LG,27,1990년 04월 07일,포수,우투우타,178cm,92kg,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA,6000만원,30000만원,09 히어로즈 2차 3라운드 19순위,09히어로즈,79365
72,문보경,LG,2,2000년 07월 19일,내야수,우투좌타,182cm,89kg,송중초(동대문구리틀)-덕수중-신일고,8000만원,17000만원,19 LG 2차 3라운드 25순위,21LG,69102
73,김주성,LG,5,1998년 01월 30일,내야수,우투우타,180cm,81kg,수원신곡초-덕수중-휘문고,10000만원,3400만원,16 LG 2차 2라운드 14순위,16LG,66162
74,정주현,LG,7,1990년 10월 13일,내야수,우투우타,176cm,76kg,대구대현초-경상중-대구고-LG-상무,6000만원,6500만원,09 LG 2차 5라운드 36순위,09LG,79150
75,서건창,LG,14,1989년 08월 22일,내야수,우투좌타,176cm,84kg,송정동초-충장중-광주제일고-LG-히어로즈-키움,,20000만원,08 LG 육성선수,08LG,78168
76,김민성,LG,16,1988년 12월 17일,내야수,우투우타,181cm,94kg,고명초-잠신중-덕수정보고-(영남사이버대)-롯데-히어로즈-키움,10000만원,18000만원,07 롯데 2차 2라운드 13순위,07롯데,77564
77,송찬의,LG,66,1999년 02월 20일,내야수,우투우타,182cm,77kg,화곡초-선린중-선린인터넷고,5000만원,4000만원,18 LG 2차 7라운드 67순위,22LG,68110
78,신민재,LG,4,1996년 01월 21일,외야수,우투좌타,171cm,67kg,서흥초-동인천중-인천고,,4800만원,15 두산 육성선수,19LG,65207
79,문성주,LG,8,1997년 02월 20일,외야수,좌투좌타,175cm,78kg,포항서초-포항제철중-경북고-강릉영동대,3000만원,9500만원,18 LG 2차 10라운드 97순위,18LG,68119
80,박해민,LG,17,1990년 02월 24일,외야수,우투좌타,180cm,75kg,영중초-양천중-신일고-한양대-삼성,,60000만원,12 삼성 육성선수,12삼성,62415
81,김현수,LG,22,1988년 01월 12일,외야수,우투좌타,188cm,100kg,쌍문초-신일중-신일고-두산-볼티모어-필라델피아,,100000만원,06 두산 육성선수,06두산,76290
82,오스틴,LG,23,1993년 10월 14일,외야수,우투우타,183cm,97kg,미국 Klein Collins(고),100000달러,400000달러,23 LG 자유선발,23LG,53123
83,홍창기,LG,51,1993년 11월 21일,외야수,우투좌타,189cm,94kg,대일초-매송중-안산공고-건국대-LG-경찰,8000만원,30000만원,16 LG 2차 3라운드 27순위,16LG,66108
84,고영표,KT,1,1991년 09월 16일,투수,우언우타,187cm,88kg,광주대성초-광주동성중-화순고-동국대,13000만원,43000만원,14 KT 2차 1라운드 10순위,14KT,64001
85,김민,KT,11,1999년 04월 14일,투수,우투우타,185cm,88kg,인천숭의초-평촌중-유신고-KT-상무,30000만원,6000만원,18 KT 1차,18KT,68896
86,이채호,KT,17,1998년 11월 23일,투수,우언우타,185cm,85kg,동광초(김해리틀)-원동중-용마고-SK-SSG,5000만원,6000만원,18 SK 2차 6라운드 55순위,18SK,65516
87,배제성,KT,19,1996년 09월 29일,투수,우투좌타,189cm,85kg,백마초-성남중-성남고-롯데,3000만원,20000만원,15 롯데 2차 9라운드 88순위,15롯데,66064
88,김태오,KT,20,1997년 07월 29일,투수,좌투좌타,183cm,84kg,연현초-양천중-서울고-KT-상무,5000만원,3500만원,16 KT 2차 5라운드 41순위,18KT,64017
89,심재민,KT,34,1994년 02월 18일,투수,좌투우타,182cm,92kg,장유초(김해엔젤스리틀)-개성중-개성고-(전남과학대),25000만원,8300만원,14 KT 우선지명,14KT,53040
90,슐서,KT,40,1994년 05월 05일,투수,우투우타,188cm,88kg,미국 Dartmouth(대),60000달러,650000달러,23 KT 자유선발,23KT,69041
91,손동현,KT,41,2001년 01월 23일,투수,우투우타,183cm,88kg,염창초(강서구리틀)-덕수중-성남고-KT-상무,9000만원,5000만원,19 KT 2차 3라운드 21순위,19KT,52043
92,벤자민,KT,43,1993년 07월 26일,투수,좌투좌타,188cm,95kg,미국 Kansas(대),100000달러,1000000달러,22 KT 자유선발,22KT,51097
93,김영현,KT,48,2002년 08월 18일,투수,우투우타,178cm,81kg,광주화정초-광주동성중-광주동성고,,3000만원,21 KT 2차 5라운드 45순위,23KT,64768
94,조이현,KT,54,1995년 06월 27일,투수,우투좌타,185cm,95kg,송정동초-배재중-제주고-한화-SK-상무-SK-SSG,7000만원,6500만원,14 한화 2차 5라운드 47순위,14한화,52060
95,박영현,KT,60,2003년 10월 11일,투수,우투우타,183cm,91kg,부천북초-부천중-유신고,30000만원,6100만원,22 KT 1차,22KT,65062
96,김재윤,KT,62,1990년 09월 16일,투수,우투우타,185cm,91kg,서울도곡초-휘문중-휘문고,,36000만원,15 KT 2차 특별 13순위,09애리조나,78548
97,장성우,KT,22,1990년 01월 17일,포수,우투우타,187cm,100kg,감천초-경남중-경남고-롯데-경찰-롯데,20000만원,50000만원,08 롯데 1차,08롯데,62558
98,김준태,KT,44,1994년 07월 31일,포수,우투좌타,175cm,91kg,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데,,10000만원,12 롯데 육성선수,13롯데,50066
99,박경수,KT,6,1984년 03월 31일,내야수,우투우타,178cm,80kg,미성초-성남중-성남고-LG,43000만원,20000만원,03 LG 1차,03LG,73113
100,김상수,KT,7,1990년 03월 23일,내야수,우투우타,175cm,68kg,대구옥산초-경복중-경북고-삼성,28000만원,50000만원,09 삼성 1차,09삼성,79402
101,이상호,KT,16,1989년 02월 05일,내야수,우투우타,180cm,82kg,대구옥산초-경운중-대구상원고-강릉영동대-NC-상무-NC-LG,,7000만원,10 롯데 육성선수,13NC,60566
102,류현인,KT,36,2000년 11월 08일,내야수,우투좌타,174cm,80kg,광주수창초-진흥중-진흥고-단국대,5000만원,3000만원,23 KT 7라운드 70순위,23KT,53036
103,강백호,KT,50,1999년 07월 29일,내야수,우투좌타,184cm,98kg,부천북초-서울이수중-서울고,45000만원,29000만원,18 KT 2차 1라운드 1순위,18KT,68050
104,박병호,KT,52,1986년 07월 10일,내야수,우투우타,185cm,107kg,영일초(광명리틀)-영남중-성남고-LG-상무-LG-히어로즈-미네소타-넥센-키움,33000만원,70000만원,05 LG 1차,05LG,75125
105,신본기,KT,56,1989년 03월 21일,내야수,우투우타,179cm,88kg,감천초-경남중-경남고-동아대-롯데-경찰-롯데,12000만원,13000만원,12 롯데 2라운드 14순위,12롯데,62556
106,송민섭,KT,12,1991년 08월 02일,외야수,우투우타,177cm,80kg,청파초(안산리틀)-선린중-선린인터넷고-단국대-KT-상무,,6500만원,14 KT 육성선수,15KT,64012
107,문상철,KT,24,1991년 04월 06일,외야수,우투우타,184cm,85kg,중대초-잠신중-배명고-고려대-KT-상무,13000만원,5600만원,14 KT 2차 특별 11순위,14KT,64007
108,알포드,KT,25,1994년 07월 20일,외야수,우투우타,185cm,95kg,미국 Mississippi(대),100000달러,1000000달러,22 KT 자유선발,22KT,52009
109,홍현빈,KT,31,1997년 08월 29일,외야수,우투좌타,174cm,70kg,수원신곡초-매송중-유신고-KT-상무,9000만원,4800만원,17 KT 2차 3라운드 21순위,17KT,67005
110,김민혁,KT,53,1995년 11월 21일,외야수,우투좌타,181cm,71kg,광주서석초-배재중-배재고-KT-상무,6000만원,15000만원,14 KT 2차 6라운드 56순위,14KT,64004
111,정준영,KT,58,2004년 01월 26일,외야수,좌투좌타,173cm,73kg,도신초-강남중-장충고,12000만원,3000만원,23 KT 2라운드 20순위,23KT,53058
112,윤영철,KIA,13,2004년 04월 20일,투수,좌투좌타,187cm,87kg,창서초(서대문구리틀)-충암중-충암고,32000만원,3000만원,23 KIA 1라운드 2순위,23KIA,53613
113,임기영,KIA,17,1993년 04월 16일,투수,우언우타,184cm,86kg,대구수창초-경운중-경북고-한화-상무,11000만원,15000만원,12 한화 2라운드 18순위,12한화,62754
114,이준영,KIA,20,1992년 08월 10일,투수,좌투좌타,177cm,85kg,군산남초-군산중-군산상고-중앙대-KIA-상무,8000만원,14000만원,15 KIA 2차 4라운드 42순위,15KIA,65665
115,최지민,KIA,39,2003년 09월 10일,투수,좌투좌타,185cm,100kg,강릉율곡초(강릉리틀)-경포중-강릉고,15000만원,3000만원,22 KIA 2차 1라운드 5순위,22KIA,52639
116,유승철,KIA,40,1998년 03월 02일,투수,우투양타,184cm,87kg,순천북초-순천이수중-효천고,18000만원,3800만원,17 KIA 1차,17KIA,67640
117,메디나,KIA,45,1996년 12월 18일,투수,우투우타,185cm,84kg,도미니카 Liceo Secundario Cacique Enriquillo(고),36000달러,300000달러,23 KIA 자유선발,23KIA,53645
118,이의리,KIA,48,2002년 06월 16일,투수,좌투좌타,185cm,90kg,광주수창초-충장중-광주제일고,30000만원,15000만원,21 KIA 1차,21KIA,51648
119,전상현,KIA,51,1996년 04월 18일,투수,우투우타,182cm,84kg,남도초-경복중-대구상원고-KIA-상무,7000만원,13500만원,16 KIA 2차 4라운드 38순위,16KIA,66609
120,김기훈,KIA,53,2000년 01월 03일,투수,좌투좌타,184cm,93kg,광주수창초-무등중-광주동성고-KIA-상무,35000만원,5000만원,19 KIA 1차,19KIA,69620
121,양현종,KIA,54,1988년 03월 01일,투수,좌투좌타,183cm,91kg,학강초-광주동성중-광주동성고-KIA-텍사스,20000만원,50000만원,07 KIA 2차 1라운드 1순위,07KIA,77637
122,정해영,KIA,62,2001년 08월 23일,투수,우투우타,189cm,98kg,광주대성초-광주동성중-광주제일고,20000만원,23000만원,20 KIA 1차,20KIA,50662
123,앤더슨,KIA,64,1994년 10월 29일,투수,우투우타,193cm,102kg,미국 American Heritage(고),100000달러,600000달러,23 KIA 자유선발,23KIA,53664
124,김대유,KIA,69,1991년 05월 08일,투수,좌투좌타,187cm,92kg,부산중앙초-부산중-부산고-히어로즈-SK-KT-LG,6000만원,16000만원,10 넥센 3라운드 18순위,10넥센,60337
125,주효상,KIA,22,1997년 11월 11일,포수,우투좌타,182cm,85kg,역북초-강남중-서울고-히어로즈-키움,20000만원,4800만원,16 넥센 1차,16넥센,66354
126,한승택,KIA,26,1994년 06월 21일,포수,우투우타,174cm,83kg,잠전초(남양주리틀)-잠신중-덕수고-한화-경찰,9000만원,8000만원,13 한화 3라운드 23순위,13한화,63722
127,박찬호,KIA,1,1995년 06월 05일,내야수,우투우타,178cm,72kg,신답초-건대부중-장충고,8000만원,20000만원,14 KIA 2차 5라운드 50순위,14KIA,64646
128,김선빈,KIA,3,1989년 12월 18일,내야수,우투우타,165cm,77kg,화순초-화순중-화순고-KIA-상무,3000만원,45000만원,08 KIA 2차 6라운드 43순위,08KIA,78603
129,홍종표,KIA,6,2000년 05월 02일,내야수,우투좌타,178cm,72kg,동막초-영남중-강릉고-KIA-상무,11000만원,3300만원,20 KIA 2차 2라운드 16순위,20KIA,50600
130,류지혁,KIA,8,1994년 01월 13일,내야수,우투좌타,181cm,75kg,청원초-선린중-충암고-두산-상무-두산,7000만원,15500만원,12 두산 4라운드 36순위,12두산,62234
131,김규성,KIA,14,1997년 03월 08일,내야수,우투좌타,183cm,73kg,갈산초-선린중-선린인터넷고,4000만원,4500만원,16 KIA 2차 7라운드 63순위,17KIA,66614
132,변우혁,KIA,33,2000년 03월 18일,내야수,우투우타,185cm,95kg,일산초-현도중-북일고-한화-상무-한화,18000만원,3500만원,19 한화 1차,19한화,69727
133,황대인,KIA,52,1996년 02월 10일,내야수,우투우타,178cm,100kg,군산신풍초-자양중-경기고-KIA-상무,16000만원,13000만원,15 KIA 2차 1라운드 2순위,15KIA,65610
134,이우성,KIA,25,1994년 07월 17일,외야수,우투우타,182cm,95kg,대전유천초-한밭중-대전고-두산-상무-두산-NC,12000만원,5500만원,13 두산 2라운드 15순위,13두산,63260
135,김호령,KIA,27,1992년 04월 30일,외야수,우투우타,178cm,85kg,관산초-안산중앙중-군산상고-동국대-KIA-경찰,3000만원,7000만원,15 KIA 2차 10라운드 102순위,15KIA,65653
136,소크라테스,KIA,30,1992년 09월 06일,외야수,좌투좌타,188cm,93kg,도미니카 Liceo Cacique Enriquillo(고),100000달러,500000달러,22 KIA 자유선발,22KIA,52630
137,최형우,KIA,34,1983년 12월 16일,외야수,우투좌타,180cm,106kg,진북초-전주동중-전주고-삼성-경찰-삼성,5000만원,90000만원,02 삼성 2차 6라운드 48순위,02삼성,72443
138,고종욱,KIA,57,1989년 01월 11일,외야수,우투좌타,184cm,83kg,역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG,8000만원,7000만원,11 넥센 3라운드 19순위,11넥센,61353
