,이름,팀,번호,생일,포지션,투타유형,키,몸무게,경력,입단 계약금,연봉,지명 순위,입단년도,ID
139,이창진,KIA,66,1991년 03월 04일,외야수,우투우타,173cm,85kg,신도초-동인천중-인천고-건국대-롯데-KT-상무-KT,5000만원,14000만원,14 롯데 2차 6라운드 60순위,14롯데,64560
140,송명기,NC,11,2000년 08월 09일,투수,우투우타,191cm,93kg,양남초(하남시리틀)-건대부중-장충고,16000만원,13000만원,19 NC 2차 1라운드 7순위,19NC,69962
141,페디,NC,13,1993년 02월 25일,투수,우투우타,193cm,92kg,"미국 Nevada, Las Vegas(대)",200000달러,800000달러,23 NC 자유선발,23NC,53913
142,김영규,NC,17,2000년 02월 10일,투수,좌투좌타,188cm,86kg,광주서석초-무등중-광주제일고,4000만원,14000만원,18 NC 2차 8라운드 79순위,18NC,68900
143,김시훈,NC,21,1999년 02월 24일,투수,우투우타,188cm,95kg,양덕초-마산동중-마산고,20000만원,9000만원,18 NC 1차,18NC,68928
144,이용찬,NC,22,1989년 01월 02일,투수,우투우타,185cm,85kg,신원초-양천중-장충고-두산-상무-두산,45000만원,40000만원,07 두산 1차,07두산,77211
145,임정호,NC,30,1990년 04월 16일,투수,좌투좌타,188cm,90kg,성동초-잠신중-신일고-성균관대-NC-상무,7000만원,9000만원,13 NC 3라운드 30순위 ,13NC,63959
146,하준영,NC,39,1999년 09월 06일,투수,좌투좌타,182cm,79kg,서울이수초-성남중-성남고-KIA,11000만원,7500만원,18 KIA 2차 2라운드 16순위,18KIA,68639
147,류진욱,NC,41,1996년 10월 10일,투수,우투우타,189cm,88kg,양정초-개성중-부산고,10000만원,7500만원,15 NC 2차 2라운드 21순위,15NC,65949
148,이용준,NC,48,2002년 05월 08일,투수,우투우타,180cm,95kg,중대초-양천중-서울디자인고,10000만원,3500만원,21 NC 2차 2라운드 16순위,21NC,51948
149,신민혁,NC,53,1999년 02월 04일,투수,우투우타,184cm,95kg,염강초(강서구리틀)-매향중-야탑고,6000만원,13500만원,18 NC 2차 5라운드 49순위,20NC,68902
150,김진호,NC,54,1998년 06월 07일,투수,우투우타,183cm,90kg,의왕부곡초-성일중-광주동성고-NC-경찰-NC,9000만원,6000만원,17 NC 2차 2라운드 18순위,17NC,67954
151,구창모,NC,59,1997년 02월 17일,투수,좌투좌타,183cm,85kg,천안남산초-덕수중-울산공고,15000만원,60000만원,15 NC 2차 1라운드 3순위,15NC,65933
152,조민석,NC,64,1998년 12월 21일,투수,우투양타,180cm,81kg,천안남산초-천안북중-부천고-원광대,3000만원,3500만원,22 NC 2차 9라운드 90순위,22NC,52903
153,박대온,NC,26,1995년 08월 28일,포수,우투우타,182cm,85kg,서울도곡초-서울이수중-휘문고,10000만원,4000만원,14 NC 2차 2라운드 25순위,14NC,64944
154,안중열,NC,32,1995년 09월 01일,포수,우투우타,176cm,87kg,가야초-개성중-부산고-(영남사이버대)-KT-롯데-상무-롯데,13000만원,6000만원,14 KT 2차 특별 15순위,14KT,64022
155,박민우,NC,2,1993년 02월 06일,내야수,우투좌타,185cm,80kg,마포초(용산구리틀)-선린중-휘문고,16000만원,110000만원,12 NC 1라운드 9순위,12NC,62907
156,서호철,NC,5,1996년 10월 16일,내야수,우투우타,179cm,85kg,순천남산초-순천이수중-효천고-동의대-NC-상무,3000만원,4500만원,19 NC 2차 9라운드 87순위,20NC,67900
157,김주원,NC,7,2002년 07월 30일,내야수,우투양타,185cm,83kg,삼일초(군포시리틀)-안산중앙중-유신고,15000만원,9000만원,21 NC 2차 1라운드 6순위,21NC,51907
158,도태훈,NC,16,1993년 03월 18일,내야수,우투좌타,184cm,85kg,양정초-개성중-부산고-동의대-NC-상무,,5000만원,16 NC 육성선수,16NC,66965
159,박석민,NC,18,1985년 06월 22일,내야수,우투우타,178cm,88kg,율하초-경복중-대구고-삼성-상무-삼성,18000만원,5000만원,04 삼성 1차,04삼성,74465
160,오영수,NC,34,2000년 01월 30일,내야수,우투좌타,178cm,93kg,사파초-신월중-용마고-NC-상무,10000만원,6000만원,18 NC 2차 2라운드 19순위,18NC,68904
161,오태양,NC,50,2002년 04월 25일,내야수,우투우타,178cm,67kg,방배초-대치중-청원고,6000만원,3100만원,21 NC 2차 5라운드 46순위,21NC,51996
162,김한별,NC,68,2001년 01월 18일,내야수,우투우타,177cm,85kg,효제초-선린중-배재고,,3100만원,20 NC 2차 7라운드 61순위,22NC,50902
163,천재환,NC,23,1994년 04월 01일,외야수,우투우타,181cm,83kg,대전신흥초-공주중-화순고-고려대,,3100만원,17 NC 육성선수,22NC,67905
164,손아섭,NC,31,1988년 03월 18일,외야수,우투좌타,174cm,84kg,양정초-개성중-부산고-롯데,8000만원,50000만원,07 롯데 2차 4라운드 29순위,07롯데,77532
165,박건우,NC,37,1990년 09월 08일,외야수,우투우타,184cm,80kg,역삼초-서울이수중-서울고-두산-경찰-두산,10000만원,90000만원,09 두산 2차 2라운드 10순위,09두산,79215
166,오장한,NC,38,2002년 05월 20일,외야수,우투좌타,185cm,90kg,희망대초-매향중-장안고,8000만원,3300만원,21 NC 2차 3라운드 26순위,21NC,51991
167,한석현,NC,46,1994년 05월 17일,외야수,좌투좌타,181cm,73kg,후암초-대천중-경남고-LG,5000만원,3900만원,14 LG 2차 5라운드 48순위,20LG,64101
168,양창섭,삼성,1,1999년 09월 22일,투수,우투우타,182cm,85kg,녹천초(노원구리틀)-청량중-덕수고,26000만원,4800만원,18 삼성 2차 1라운드 2순위,18삼성,68415
169,우규민,삼성,2,1985년 01월 21일,투수,우언우타,184cm,75kg,성동초-휘문중-휘문고-LG-경찰-LG,12000만원,25000만원,03 LG 2차 3라운드 19순위,03LG,73117
170,뷰캐넌,삼성,4,1989년 05월 11일,투수,우투우타,190cm,90kg,미국 Georgia State(대),100000달러,1100000달러,20 삼성 자유선발,20삼성,50404
171,홍정우,삼성,11,1996년 03월 16일,투수,우투우타,182cm,85kg,도신초-강남중-충암고-경찰,8000만원,6300만원,15 삼성 2차 4라운드 35순위,16경찰,61365
172,김대우,삼성,17,1988년 11월 21일,투수,우언우타,183cm,85kg,역삼초-대치중-서울고-홍익대-히어로즈-상무-히어로즈,2000만원,7000만원,11 넥센 9라운드 67순위,11넥센,69446
173,원태인,삼성,18,2000년 04월 06일,투수,우투우타,183cm,92kg,율하초(중구리틀)-경복중-경북고,35000만원,35000만원,19 삼성 1차,19삼성,60146
174,이승현,삼성,20,1991년 11월 20일,투수,우투우타,181cm,92kg,화순초-진흥중-화순고-LG,10000만원,12000만원,10 LG 2라운드 16순위,10LG,75421
175,오승환,삼성,21,1982년 07월 15일,투수,우투우타,178cm,93kg,도신초-우신중-경기고-단국대-삼성-한신-세인트루이스-토론토-콜로라도,18000만원,140000만원,05 삼성 2차 1라운드 5순위,05삼성,77446
176,백정현,삼성,29,1987년 07월 13일,투수,좌투좌타,184cm,80kg,대구옥산초-대구중-대구상원고,15000만원,40000만원,07 삼성 2차 1라운드 8순위,07삼성,67419
177,최충연,삼성,51,1997년 03월 05일,투수,우투우타,190cm,85kg,대구수창초-대구중-경북고,28000만원,5500만원,16 삼성 1차,16삼성,66451
178,이승현,삼성,54,2002년 05월 19일,투수,좌투좌타,183cm,102kg,남도초-경복중-대구상원고,35000만원,8000만원,21 삼성 1차,21삼성,51454
179,이호성,삼성,55,2004년 08월 14일,투수,우투우타,184cm,87kg,도원초(부천소사리틀)-동인천중-인천고,20000만원,3000만원,23 삼성 1라운드 8순위,23삼성,52457
180,수아레즈,삼성,57,1989년 10월 08일,투수,우투우타,190cm,120kg,베네수엘라 Galileo Galilei(고),100000달러,900000달러,22 삼성 자유선발,22삼성,63960
181,이상민,삼성,59,1990년 11월 04일,투수,좌투좌타,180cm,85kg,남도초(수성리틀)-대구중-경북고-동의대-NC-히어로즈-경찰-히어로즈-키움,4000만원,7500만원,13 NC 7라운드 66순위,13NC,64793
182,김민수,삼성,12,1991년 03월 02일,포수,우투우타,177cm,80kg,대구옥산초-경복중-대구상원고-영남대-한화-상무,11000만원,5200만원,14 한화 2차 2라운드 24순위,14한화,74540
183,강민호,삼성,47,1985년 08월 18일,포수,우투우타,185cm,100kg,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,60000만원,04 롯데 2차 3라운드 17순위,04롯데,52415
184,이재현,삼성,7,2003년 02월 04일,내야수,우투우타,180cm,82kg,서울이수초-선린중-서울고,22000만원,6000만원,22 삼성 1차,22삼성,64407
185,김호재,삼성,8,1995년 05월 31일,내야수,우투우타,178cm,72kg,서울도곡초-서울이수중-장충고,,5600만원,14 삼성 육성선수,18삼성,68407
186,이성규,삼성,13,1993년 08월 03일,내야수,우투우타,178cm,82kg,광주대성초-광주동성중-광주동성고-인하대-삼성-경찰,8000만원,4500만원,16 삼성 2차 4라운드 31순위,16삼성,66409
187,이원석,삼성,16,1986년 10월 21일,내야수,우투우타,182cm,82kg,학강초-광주동성중-광주동성고-(세민디지털대)-롯데-두산-상무-두산,13000만원,20000만원,05 롯데 2차 2라운드 9순위,05롯데,66406
188,오재일,삼성,44,1986년 10월 29일,내야수,좌투좌타,187cm,95kg,인창초(구리리틀)-구리인창중-야탑고-현대-상무-히어로즈-두산,8000만원,50000만원,05 현대 2차 3라운드 24순위,05현대,75566
189,김지찬,삼성,58,2001년 03월 08일,내야수,우투좌타,163cm,64kg,백사초(이천시리틀)-모가중-라온고,11000만원,16000만원,20 삼성 2차 2라운드 15순위,20삼성,75334
190,이해승,삼성,67,2000년 08월 01일,내야수,우투우타,180cm,86kg,인천서림초-신흥중-인천고,4000만원,4200만원,19 삼성 2차 8라운드 72순위,22삼성,50458
191,구자욱,삼성,5,1993년 02월 12일,외야수,우투좌타,189cm,75kg,본리초-경복중-대구고-삼성-상무,13000만원,200000만원,12 삼성 2라운드 12순위,12삼성,69416
192,윤정빈,삼성,31,1999년 06월 24일,외야수,우투좌타,182cm,93kg,신도초-부천중-부천고-삼성-상무,7000만원,3200만원,18 삼성 2차 5라운드 42순위,18삼성,62404
193,김동엽,삼성,38,1990년 07월 24일,외야수,우투우타,186cm,101kg,천안남산초-천안북중-북일고-SK,,9000만원,16 SK 2차 9라운드 86순위,09시카고컵스,67449
194,김성윤,삼성,39,1999년 02월 02일,외야수,좌투좌타,163cm,62kg,창신초(부산진구리틀)-원동중-포항제철고,7000만원,4300만원,17 삼성 2차 4라운드 39순위,17삼성,64469
195,피렐라,삼성,63,1989년 11월 21일,외야수,우투우타,183cm,99kg,베네수엘라 Manuel Segundo Sanchez(고),100000달러,1200000달러,21 삼성 자유선발,21삼성,51463
196,김진욱,롯데,15,2002년 07월 05일,투수,좌투좌타,185cm,90kg,수원신곡초-춘천중-강릉고,37000만원,5600만원,21 롯데 2차 1라운드 1순위,21롯데,51516
197,한현희,롯데,16,1993년 06월 25일,투수,우언우타,182cm,98kg,동삼초-경남중-경남고-히어로즈-키움,23000만원,20000만원,12 넥센 1라운드 2순위,12넥센,62363
198,박세웅,롯데,21,1995년 11월 30일,투수,우투우타,182cm,85kg,대구경운초-경운중-경북고-KT,20000만원,150000만원,14 KT 1차,14KT,64021
199,구승민,롯데,22,1990년 06월 12일,투수,우투우타,182cm,86kg,동일초(도봉구리틀)-청원중-청원고-홍익대-롯데-상무,5000만원,24860만원,13 롯데 6라운드 52순위,14롯데,63543
200,김상수,롯데,24,1988년 01월 02일,투수,우투우타,180cm,88kg,신자초(자이언츠리틀)-자양중-신일고-(방송통신대)-삼성-상무-키움-SK-SSG,13000만원,11000만원,06 삼성 2차 2라운드 15순위,06삼성,76430
201,반즈,롯데,28,1995년 10월 01일,투수,좌투좌타,189cm,91kg,미국 Clemson(대),150000달러,850000달러,22 롯데 자유선발,22롯데,52528
202,신정락,롯데,31,1987년 05월 13일,투수,우언좌타,178cm,78kg,천안남산초-천안북중-북일고-고려대-LG-한화,30000만원,7000만원,10 LG 1라운드 1순위,10LG,60140
203,김원중,롯데,34,1993년 06월 14일,투수,우투좌타,192cm,96kg,학강초-광주동성중-광주동성고,15000만원,25200만원,12 롯데 1라운드 5순위,12롯데,62528
204,윤명준,롯데,41,1989년 06월 18일,투수,우투우타,178cm,78kg,광주서석초-광주동성중-광주동성고-고려대-두산-상무-두산,20000만원,6000만원,12 두산 1라운드 6순위,12두산,62242
205,나균안,롯데,43,1998년 03월 16일,투수,우투우타,186cm,109kg,무학초-창원신월중-용마고,15000만원,10900만원,17 롯데 2차 1라운드 3순위,17롯데,67539
206,스트레일리,롯데,58,1988년 12월 01일,투수,우투우타,189cm,100kg,미국 Turston(고)-미국 Marshall(대),300000달러,1000000달러,20 롯데 자유선발,20롯데,50558
207,김창훈,롯데,61,2001년 11월 09일,투수,우투우타,185cm,98kg,사파초-창원신월중-경남고,8000만원,3200만원,21 롯데 2차 3라운드 21순위,21롯데,51586
208,이진하,롯데,62,2004년 06월 02일,투수,우투우타,191cm,96kg,백송초(일산리틀)-영남중-장충고,15000만원,3000만원,23 롯데 2라운드 13순위,23롯데,53562
209,이태연,롯데,94,2004년 02월 21일,투수,좌투좌타,180cm,80kg,화곡초-영남중-충암고,6000만원,3000만원,23 롯데 6라운드 53순위,23롯데,53594
210,유강남,롯데,27,1992년 07월 15일,포수,우투우타,182cm,88kg,청원초-휘문중-서울고-LG-상무-LG,4000만원,60000만원,11 LG 7라운드 50순위,11LG,61102
211,정보근,롯데,42,1999년 08월 31일,포수,우투우타,175cm,94kg,부산수영초-경남중-경남고,3000만원,5900만원,18 롯데 2차 9라운드 83순위,19롯데,68518
212,이학주,롯데,7,1990년 11월 04일,내야수,우투좌타,187cm,87kg,하안북초-양천중-충암고-삼성,,7200만원,19 삼성 2차 1라운드 2순위,09시카고컵스,69453
213,전준우,롯데,8,1986년 02월 25일,내야수,우투우타,184cm,98kg,흥무초-경주중-경주고-건국대-롯데-경찰,10000만원,50000만원,08 롯데 2차 2라운드 15순위,08롯데,78513
214,정훈,롯데,9,1987년 07월 18일,내야수,우투우타,180cm,85kg,양덕초-마산동중-용마고,,30000만원,06 현대 육성선수,10롯데,60523
215,안치홍,롯데,13,1990년 07월 02일,내야수,우투우타,178cm,97kg,구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA,18000만원,50000만원,09 KIA 2차 1라운드 1순위,09KIA,79608
216,한동희,롯데,25,1999년 06월 01일,내야수,우투우타,182cm,108kg,부산대연초-경남중-경남고,18000만원,19260만원,18 롯데 1차,18롯데,68525
217,노진혁,롯데,52,1989년 07월 15일,내야수,우투좌타,184cm,80kg,광주대성초-광주동성중-광주동성고-성균관대-NC-상무-NC,8000만원,50000만원,12 NC 특별 20순위,12NC,62931
218,박승욱,롯데,53,1992년 12월 04일,내야수,우투좌타,184cm,83kg,칠성초-경복중-대구상원고-SK-KT,8000만원,7000만원,12 SK 3라운드 31순위,12SK,62802
219,안권수,롯데,0,1993년 04월 19일,외야수,우투좌타,175cm,80kg,일본 타카사초-일본 키시중-일본 와세다실업고-일본 와세다대-두산,3000만원,8000만원,20 두산 2차 10라운드 99순위,20두산,50202
220,김민석,롯데,2,2004년 05월 09일,외야수,우투좌타,185cm,83kg,신도초-휘문중-휘문고,25000만원,3000만원,23 롯데 1라운드 3순위,23롯데,53554
221,신윤후,롯데,3,1996년 01월 05일,외야수,우투우타,177cm,77kg,무학초-마산중-마산고-동의대,3000만원,5300만원,19 롯데 2차 10라운드 98순위,19롯데,69508
222,렉스,롯데,17,1993년 11월 12일,외야수,우투좌타,188cm,86kg,미국 Kentucky(대),,1000000달러,22 롯데 자유선발,22롯데,52547
223,고승민,롯데,65,2000년 08월 11일,외야수,우투좌타,189cm,92kg,군산신풍초-배명중-북일고,15000만원,7300만원,19 롯데 2차 1라운드 8순위,19롯데,69517
224,박치국,두산,1,1998년 03월 10일,투수,우언우타,177cm,78kg,인천숭의초-인천신흥중-제물포고,14000만원,10500만원,17 두산 2차 1라운드 10순위,17두산,67266
225,홍건희,두산,17,1992년 09월 29일,투수,우투우타,187cm,97kg,화순초-화순중-화순고-KIA-상무-KIA,14000만원,30000만원,11 KIA 2라운드 9순위,11KIA,61643
226,김동주,두산,41,2002년 02월 14일,투수,우투우타,190cm,90kg,갈산초-양천중-선린인터넷고,12000만원,3100만원,21 두산 2차 1라운드 10순위,21두산,52204
227,최지강,두산,42,2001년 07월 23일,투수,우투좌타,180cm,88kg,광주서석초-광주동성중-광주동성고-강릉영동대,,3000만원,22 두산 육성선수,22두산,51230
228,알칸타라,두산,43,1992년 12월 04일,투수,우투우타,193cm,100kg,도미니카 Liceo secundario Emma Balaguer(고)-KT,200000달러,500000달러,19 KT 자유선발,19KT,52206
229,김명신,두산,46,1993년 11월 29일,투수,우투우타,178cm,90kg,남도초-대구중-경북고-경성대,10000만원,14500만원,17 두산 2차 2라운드 20순위,17두산,69045
230,곽빈,두산,47,1999년 05월 28일,투수,우투우타,187cm,95kg,서울학동초-자양중-배명고,30000만원,14000만원,18 두산 1차,18두산,67246
231,이승진,두산,55,1995년 01월 07일,투수,우투우타,186cm,86kg,수원신곡초-매송중-야탑고-상무-SK,5000만원,8800만원,14 SK 2차 7라운드 73순위,16상무,68220
232,최원준,두산,61,1994년 12월 21일,투수,우언우타,182cm,91kg,수유초-신일중-신일고-동국대,18000만원,33000만원,17 두산 1차,18두산,64805
233,고봉재,두산,63,1993년 05월 14일,투수,우언우타,184cm,84kg,감천초-대동중-경남고-호원대,8000만원,3300만원,16 두산 2차 3라운드 25순위,16두산,67263
234,최승용,두산,64,2001년 05월 11일,투수,좌투좌타,190cm,87kg,양오초-모가중-소래고,8000만원,6000만원,21 두산 2차 2라운드 20순위,21두산,66201
235,정철원,두산,65,1999년 03월 27일,투수,우투우타,192cm,95kg,역북초-송전중-안산공고,10000만원,10000만원,18 두산 2차 2라운드 20순위,18두산,51264
236,박신지,두산,66,1999년 07월 16일,투수,우투우타,185cm,75kg,목암초(의정부리틀)-영동중-경기고-두산-상무,14000만원,3600만원,18 두산 2차 1라운드 10순위,18두산,68242
237,장승현,두산,22,1994년 03월 07일,포수,우투양타,184cm,86kg,인천서림초-동산중-제물포고-두산-경찰,7000만원,6000만원,13 두산 4라운드 36순위,13두산,63202
238,양의지,두산,25,1987년 06월 05일,포수,우투우타,180cm,95kg,송정동초-무등중-진흥고-두산-경찰-두산-NC,3000만원,30000만원,06 두산 2차 8라운드 59순위,06두산,76232
239,안재석,두산,3,2002년 02월 15일,내야수,우투좌타,185cm,75kg,성내초(강동구리틀)-배재중-서울고,20000만원,5300만원,21 두산 1차,21두산,51203
240,신성현,두산,5,1990년 10월 19일,내야수,우투우타,183cm,92kg,가동초-덕수중-교토고쿠사이고-히로시마-한화,,4000만원,15 한화 육성선수,09히로시마,64086
241,이유찬,두산,7,1998년 08월 05일,내야수,우투우타,175cm,68kg,동막초-천안북중-북일고-두산-상무,6000만원,6000만원,17 두산 2차 5라운드 50순위,17두산,67207
242,허경민,두산,13,1990년 08월 26일,내야수,우투우타,176cm,69kg,송정동초-충장중-광주제일고-두산-경찰,13000만원,120000만원,09 두산 2차 1라운드 7순위,09두산,79240
243,강승호,두산,23,1994년 02월 09일,내야수,우투우타,178cm,88kg,순천북초-천안북중-북일고-LG-경찰-LG-SK,20000만원,20000만원,13 LG 1라운드 3순위,13LG,63123
244,김재호,두산,52,1985년 03월 21일,내야수,우투우타,181cm,75kg,남정초-중앙중-중앙고-두산-상무,20000만원,50000만원,04 두산 1차,04두산,74206
245,양석환,두산,53,1991년 07월 15일,내야수,우투우타,185cm,90kg,백운초-신일중-신일고-동국대-LG-상무-LG,9000만원,40000만원,14 LG 2차 3라운드 28순위,14LG,64153
246,송승환,두산,8,2000년 10월 28일,외야수,우투우타,183cm,93kg,신기초(금천구리틀)-양천중-서울고,10000만원,3500만원,19 두산 2차 2라운드 19순위,19두산,69203
247,로하스,두산,11,1993년 02월 24일,외야수,우투좌타,183cm,90kg,미국 Vanguard(대),50000달러,850000달러,23 두산 자유선발,23두산,53211
248,정수빈,두산,31,1990년 10월 07일,외야수,좌투좌타,175cm,70kg,수원신곡초-수원북중-유신고-두산-경찰,6000만원,60000만원,09 두산 2차 5라운드 39순위,09두산,79231
249,김재환,두산,32,1988년 09월 22일,외야수,우투좌타,183cm,90kg,영랑초-상인천중-인천고-두산-상무,15000만원,150000만원,08 두산 2차 1라운드 4순위,08두산,78224
250,조수행,두산,51,1993년 08월 30일,외야수,우투좌타,178cm,73kg,노암초-경포중-강릉고-건국대-두산-상무,14000만원,7800만원,16 두산 2차 1라운드 5순위,16두산,66209
251,양찬열,두산,57,1997년 05월 25일,외야수,우투좌타,179cm,84kg,서울상수초-건대부중-장충고-단국대,4000만원,4300만원,20 두산 2차 8라운드 79순위,20두산,50293
252,문동주,한화,1,2003년 12월 23일,투수,우투우타,188cm,97kg,광주화정초-무등중-진흥고,50000만원,3300만원,22 한화 1차,22한화,52701
253,윤대경,한화,5,1994년 04월 09일,투수,우투우타,179cm,81kg,인천서림초-동인천중-인천고-삼성,5000만원,9000만원,13 삼성 7라운드 65순위,13삼성,63464
254,남지민,한화,11,2001년 02월 12일,투수,우투우타,181cm,100kg,양정초-개성중-부산정보고,16000만원,4300만원,20 한화 2차 1라운드 8순위,20한화,50720
255,김기중,한화,15,2002년 11월 16일,투수,좌투좌타,186cm,96kg,의왕부곡초-매송중-유신고,15000만원,3600만원,21 한화 2차 1라운드 2순위,21한화,51715
256,페냐,한화,20,1990년 01월 25일,투수,우투우타,188cm,99kg,도미니카 Centro de Desarrollo y Crecimiento Credy,100000달러,550000달러,22 한화 자유선발,22한화,52720
257,한승혁,한화,26,1993년 01월 03일,투수,우투좌타,185cm,100kg,도신초-강남중-덕수고-(남부대)-KIA,18000만원,6200만원,11 KIA 1라운드 8순위,11KIA,61666
258,장민재,한화,36,1990년 03월 19일,투수,우투우타,184cm,106kg,광주화정초-무등중-광주제일고,8000만원,11500만원,09 한화 2차 3라운드 22순위,09한화,79764
259,이태양,한화,46,1990년 07월 03일,투수,우투좌타,192cm,97kg,여수서초-여수중-효천고-한화-SK-SSG,7000만원,66000만원,10 한화 5라운드 36순위,10한화,60768
260,김범수,한화,47,1995년 10월 03일,투수,좌투좌타,181cm,92kg,온양온천초-온양중-북일고,20000만원,14100만원,15 한화 1차,15한화,65769
261,김민우,한화,53,1995년 07월 25일,투수,우투우타,186cm,123kg,사파초-마산중-용마고,20000만원,22800만원,15 한화 2차 1라운드 1순위,15한화,65764
262,강재민,한화,55,1997년 04월 03일,투수,우투우타,180cm,89kg,양덕초-마산중-용마고-단국대,8000만원,15000만원,20 한화 2차 4라운드 38순위,20한화,50705
263,정우람,한화,57,1985년 06월 01일,투수,좌투좌타,181cm,83kg,하단초-대동중-경남상고-SK,8500만원,50000만원,04 SK 2차 2라운드 11순위,04SK,74857
264,한승주,한화,59,2001년 03월 17일,투수,우투우타,184cm,83kg,부산수영초-대천중-부산고,11000만원,3100만원,20 한화 2차 2라운드 18순위,20한화,50726
265,장지수,한화,69,2000년 05월 25일,투수,우투우타,179cm,80kg,사당초-강남중-성남고-KIA-상무-KIA,10000만원,3200만원,19 KIA 2차 2라운드 20순위,19KIA,69645
266,최재훈,한화,13,1989년 08월 27일,포수,우투우타,178cm,94kg,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산,,80000만원,08 두산 육성선수,08두산,78288
267,박상언,한화,42,1997년 03월 03일,포수,우투우타,185cm,90kg,무원초-영남중-유신고-한화-상무,4000만원,3600만원,16 한화 2차 8라운드 79순위,17한화,66707
268,허관회,한화,48,1999년 02월 12일,포수,우투우타,176cm,93kg,경동초(의정부리틀)-건대부중-경기고,3000만원,3300만원,19 한화 2차 9라운드 83순위,20한화,69706
269,오선진,한화,6,1989년 07월 07일,내야수,우투우타,178cm,80kg,화곡초-성남중-성남고-한화-상무-한화-삼성,6000만원,10000만원,08 한화 2차 4라운드 26순위,08한화,78756
270,노시환,한화,8,2000년 12월 03일,내야수,우투우타,185cm,105kg,부산수영초-경남중-경남고,20000만원,13100만원,19 한화 2차 1라운드 3순위,19한화,69737
271,박정현,한화,9,2001년 07월 27일,내야수,우투우타,183cm,80kg,부천북초-부천중-유신고,4000만원,4200만원,20 한화 2차 8라운드 78순위,20한화,50709
272,김태연,한화,25,1997년 06월 10일,내야수,우투우타,178cm,96kg,서울청구초-덕수중-야탑고,5000만원,6000만원,16 한화 2차 6라운드 59순위,17한화,66704
273,김인환,한화,37,1994년 01월 28일,내야수,우투좌타,186cm,100kg,화순초-화순중-화순고-성균관대,,6400만원,16 한화 육성선수,18한화,66715
274,정은원,한화,43,2000년 01월 17일,내야수,우투좌타,177cm,84kg,상인천초-상인천중-인천고,9000만원,21800만원,18 한화 2차 3라운드 24순위,18한화,68743
275,문현빈,한화,64,2004년 04월 20일,내야수,우투좌타,174cm,82kg,대전유천초-온양중-북일고,15000만원,3000만원,23 한화 2라운드 11순위,23한화,53764
276,오그레디,한화,12,1992년 05월 17일,외야수,우투좌타,188cm,97kg,미국 Archbishop Wood(고)-미국 Rutgers(대),,700000달러,23 한화 자유선발,23한화,53712
277,노수광,한화,17,1990년 08월 06일,외야수,우투좌타,180cm,77kg,대전유천초-청주중-청주고-건국대-한화-KIA-SK,,10900만원,13 한화 육성선수,14한화,63704
278,채은성,한화,22,1990년 02월 06일,외야수,우투우타,186cm,92kg,순천북초-순천이수중-효천고-LG,,180000만원,09 LG 육성선수,14LG,79192
279,이원석,한화,50,1999년 03월 31일,외야수,우투우타,177cm,69kg,화곡초-충암중-충암고,8000만원,3300만원,18 한화 2차 4라운드 34순위,19한화,68700
